Model,Category,AUC,AUPR,N_variants,Benchmark
ESM-1b,llm,0.791035,0.213665,15601,COSMIC_TopMed
GPN-MSA,conservation,0.782027,0.34718,18903,COSMIC_TopMed
CADD,ensemble,0.773622,0.156704,18903,COSMIC_TopMed
GraphyloVar (Cond. flank=0),graphylovar,0.706225,0.022867,18903,COSMIC_TopMed
PhyloP (100-vert),conservation,0.702686,0.133856,18900,COSMIC_TopMed
PhyloP (241-mam),conservation,0.695227,0.085601,18877,COSMIC_TopMed
GraphyloVar (Cond. MLP),graphylovar,0.690682,0.021993,18903,COSMIC_TopMed
PhastCons (100-vert),conservation,0.689481,0.026367,18900,COSMIC_TopMed
"GraphyloVar (Transformer, flank=0)",graphylovar,0.681937,0.017829,18903,COSMIC_TopMed
GraphyloVar (MLP),graphylovar,0.68014,0.021212,18903,COSMIC_TopMed
"GraphyloVar (Transformer, flank=8)",graphylovar,0.675462,0.026224,18903,COSMIC_TopMed
GraphyloVar (Cond. flank=8),graphylovar,0.673365,0.025836,18903,COSMIC_TopMed
GraphyloVar (Poly. flank=0),graphylovar,0.657665,0.021111,18903,COSMIC_TopMed
GraphyloVar (Poly. MLP),graphylovar,0.639221,0.017828,18903,COSMIC_TopMed
GraphyloVar (Transformer),graphylovar,0.63736,0.015784,18903,COSMIC_TopMed
GraphyloVar (Cond. Transformer),graphylovar,0.627461,0.015686,18903,COSMIC_TopMed
GraphyloVar (Poly. flank=8),graphylovar,0.620441,0.019838,18903,COSMIC_TopMed
GraphyloVar (EvoLSTM),graphylovar,0.603172,0.013867,18903,COSMIC_TopMed
GraphyloVar (Poly. Transformer),graphylovar,0.539351,0.012224,18903,COSMIC_TopMed
